City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
Arraial do Cabo,-22.97,-42.03,20.56,74,0,6.85,BR,1596689996
Sémbé,1.65,14.58,20.37,89,93,2.18,CG,1596690220
Los Llanos de Aridane,28.66,-17.92,23.0,73,90,4.6,ES,1596689785
Cape Town,-33.93,18.42,10.0,93,75,2.1,ZA,1596690083
Hermanus,-34.42,19.23,4.44,95,48,0.45,ZA,1596690220
Chernihiv,51.0,32.0,20.64,67,14,1.55,UA,1596690221
Malakal,9.53,31.66,21.08,90,99,1.33,SS,1596690221
New London,41.36,-72.1,23.0,88,1,3.1,US,1596690221
Zhigansk,66.77,123.37,24.25,35,87,0.69,RU,1596690221
Provideniya,64.38,-173.3,11.0,71,75,5.0,RU,1596689634
Bilāspur,22.08,82.15,25.96,84,100,2.32,IN,1596690222
Kununurra,-15.77,128.73,30.0,18,75,4.1,AU,1596690222
Kirakira,-10.45,161.92,28.05,80,89,6.57,SB,1596690222
Kaitangata,-46.28,169.85,9.44,79,100,1.72,NZ,1596690222
Atuona,-9.8,-139.03,26.3,76,6,8.83,PF,1596690223
Kavieng,-2.57,150.8,29.74,73,70,6.9,PG,1596689749
Albany,42.6,-73.97,16.11,71,7,1.73,US,1596690223
Ushuaia,-54.8,-68.3,3.0,74,40,5.1,AR,1596690221
Sweetwater,25.76,-80.37,25.56,100,75,2.6,US,1596690048
Vardø,70.37,31.11,11.0,87,75,4.1,NO,1596689991
Kapaa,22.08,-159.32,26.0,83,90,6.2,US,1596690224
Mayna,54.11,47.62,20.84,89,95,3.99,RU,1596690224
Turan,16.07,108.22,32.0,66,20,2.6,VN,1596690018
Kruisfontein,-34.0,24.73,9.44,83,21,0.89,ZA,1596689752
Rikitea,-23.12,-134.97,21.28,79,36,5.22,PF,1596690225
Romita,20.87,-101.52,21.0,60,40,2.1,MX,1596690226
Souillac,-20.52,57.52,21.0,56,75,4.6,MU,1596690226
Lake Station,41.58,-87.24,18.0,68,75,2.91,US,1596690140
Longyearbyen,78.22,15.64,11.0,81,75,2.6,SJ,1596690081
Bluff,-46.6,168.33,10.56,81,100,1.09,NZ,1596690227
Tuktoyaktuk,69.45,-133.04,10.0,87,90,4.6,CA,1596690227
Saint-Pierre,-21.34,55.48,21.11,64,90,3.1,RE,1596690227
Berlevåg,70.86,29.09,10.99,83,97,1.79,NO,1596690184
Champerico,14.3,-91.92,27.62,77,100,1.19,GT,1596690228
Puerto Ayora,-0.74,-90.35,18.89,97,83,0.89,EC,1596690228
Alice Springs,-23.7,133.88,17.0,51,75,8.2,AU,1596690059
Tiksi,71.69,128.87,12.15,88,100,1.77,RU,1596690229
Bambous Virieux,-20.34,57.76,22.22,56,75,4.6,MU,1596690229
Mossamedes,-15.2,12.15,15.07,88,2,1.81,AO,1596689787
Cuajinicuilapa,16.47,-98.42,24.89,89,97,1.24,MX,1596690230
Carnarvon,-24.87,113.63,22.0,40,0,5.7,AU,1596690007
Hobyo,5.35,48.53,26.55,65,90,10.93,SO,1596690230
Necochea,-38.55,-58.74,10.0,86,67,2.24,AR,1596689429
Thompson,55.74,-97.86,17.0,77,20,2.26,CA,1596690040
Avarua,-21.21,-159.78,24.0,94,0,6.2,CK,1596690184
Lalibela,12.03,39.03,13.9,89,100,1.02,ET,1596690231
Novikovo,51.15,37.89,20.68,71,0,3.94,RU,1596690231
Dikson,73.51,80.55,8.08,95,100,7.78,RU,1596690231
Yellowknife,62.46,-114.35,18.0,72,75,4.1,CA,1596690232
Ponta Delgada,37.73,-25.67,20.0,88,20,2.1,PT,1596689608
Dubbo,-32.25,148.62,11.0,50,93,1.5,AU,1596689996
Ribeira Grande,38.52,-28.7,21.42,72,100,4.94,PT,1596690232
Busselton,-33.65,115.33,16.11,44,5,3.56,AU,1596690233
Acajutla,13.59,-89.83,20.56,100,100,0.45,SV,1596689728
Coquimbo,-29.95,-71.34,11.0,93,67,1.5,CL,1596689784
Mahébourg,-20.41,57.7,21.0,56,75,4.6,MU,1596690233
Hilo,19.73,-155.09,27.0,69,90,2.6,US,1596690157
Adrar,20.5,-10.07,32.52,32,44,8.28,MR,1596690128
Saint-Philippe,-21.36,55.77,21.11,64,90,3.1,RE,1596690234
Port Alfred,-33.59,26.89,13.06,78,100,9.07,ZA,1596690234
Constitución,-35.33,-72.42,8.82,65,1,5.51,CL,1596690235
Shawville,45.6,-76.48,16.67,87,10,2.96,CA,1596690235
La Paz,-16.5,-68.15,-2.0,74,0,2.1,BO,1596689870
Mataura,-46.19,168.86,10.56,81,100,0.43,NZ,1596690236
Qaanaaq,77.48,-69.36,-0.03,85,17,2.05,GL,1596690236
Bethel,41.37,-73.41,19.44,93,20,2.1,US,1596690236
Bengkulu,-3.8,102.27,29.36,70,78,2.8,ID,1596690236
Abu Samrah,35.3,37.18,25.71,54,0,5.61,SY,1596690236
Gumdag,39.21,54.59,29.33,23,67,4.44,TM,1596690237
Guerrero Negro,27.98,-114.06,19.62,83,0,5.61,MX,1596689463
Cabo San Lucas,22.89,-109.91,30.0,67,54,0.45,MX,1596689993
Opuwo,-18.06,13.84,8.22,70,0,0.69,NA,1596690237
Bembèrèkè,10.23,2.66,20.99,84,92,3.33,BJ,1596690238
Hithadhoo,-0.6,73.08,28.38,74,100,6.09,MV,1596690238
Butaritari,3.07,172.79,29.09,74,30,9.43,KI,1596690238
Hong Kong,22.29,114.16,32.78,59,100,5.54,HK,1596690123
Kaohsiung City,22.62,120.31,33.0,63,40,4.6,TW,1596690067
Tasiilaq,65.61,-37.64,8.0,75,100,4.6,GL,1596690239
Port Elizabeth,-33.92,25.57,10.0,93,75,6.7,ZA,1596689962
Abonnema,4.71,6.79,23.45,76,76,2.64,NG,1596690240
Matamoros,25.53,-103.25,27.78,42,12,0.89,MX,1596690240
Barrow,71.29,-156.79,9.0,70,40,3.6,US,1596689971
Nenagh,52.86,-8.2,13.0,93,40,3.1,IE,1596690240
Castro,-24.79,-50.01,10.3,91,0,1.28,BR,1596690241
Punta Arenas,-53.15,-70.92,2.0,80,0,8.7,CL,1596690241
Torbay,47.67,-52.73,13.33,100,75,8.7,CA,1596690241
Greytown,-29.06,30.59,10.15,58,11,3.83,ZA,1596690241
Livingstonia,-10.61,34.11,16.39,70,0,0.39,MW,1596690242
Lebu,-37.62,-73.65,7.32,82,2,1.86,CL,1596690242
Chokurdakh,70.63,147.92,20.42,49,100,5.86,RU,1596690242
Puerto Carreño,6.19,-67.49,24.46,83,20,1.32,CO,1596690243
Coyhaique,-45.58,-72.07,4.0,64,90,1.5,CL,1596690243
Anloga,5.79,0.9,23.0,83,20,6.2,GH,1596690243
Vao,-22.67,167.48,21.07,69,0,4.65,NC,1596690243
Oistins,13.07,-59.53,27.0,83,40,7.2,BB,1596690243
Geraldton,-28.77,114.6,17.0,67,0,5.1,AU,1596690244
Carutapera,-1.2,-46.02,23.87,89,21,1.64,BR,1596690244
Puerto Escondido,15.85,-97.07,27.75,77,73,1.72,MX,1596690244
Port Hedland,-20.32,118.57,25.0,22,44,5.1,AU,1596689789
Bontang,0.13,117.5,27.75,69,98,2.69,ID,1596690032
Grand Gaube,-20.01,57.66,22.22,60,100,4.92,MU,1596690245
Khandyga,62.67,135.6,26.7,25,0,1.66,RU,1596690245
Port Lincoln,-34.73,135.87,11.08,61,100,8.3,AU,1596689515
Cherskiy,68.75,161.3,14.32,59,95,3.38,RU,1596690246
Boralday,43.36,76.86,31.0,23,40,3.0,KZ,1596690246
Quatre Cocos,-20.21,57.76,21.67,56,75,4.6,MU,1596689843
Marsá Maţrūḩ,31.35,27.25,24.0,88,40,2.6,EG,1596690111
Jamestown,42.1,-79.24,12.78,93,1,2.1,US,1596690247
Dobříš,49.78,14.17,13.89,84,0,1.04,CZ,1596690247
Panama City,8.99,-79.52,25.0,94,93,1.0,PA,1596690248
Srednekolymsk,67.45,153.68,23.43,25,59,5.6,RU,1596689681
Kathu,7.92,98.33,29.0,83,20,2.1,TH,1596690215
Sayyan,15.17,44.32,17.63,63,89,1.41,YE,1596690249
Santa Luzia,-19.77,-43.85,15.0,67,0,2.1,BR,1596690249
Hasaki,35.73,140.83,37.78,62,20,5.7,JP,1596690249
Nikolskoye,59.7,30.79,17.22,77,31,1.84,RU,1596690249
Saint Paul Harbor,57.79,-152.41,18.0,55,1,4.1,US,1596690250
Taperoá,-7.21,-36.83,16.93,91,1,7.7,BR,1596690250
Saint George,37.1,-113.58,31.0,10,1,2.26,US,1596690250
Namatanai,-3.67,152.43,29.5,69,96,4.63,PG,1596690251
Norman Wells,65.28,-126.83,15.0,87,75,2.1,CA,1596690251
Mount Gambier,-37.83,140.77,12.0,66,40,4.6,AU,1596690251
Khatanga,71.97,102.5,18.63,61,100,5.28,RU,1596690251
Shimoda,34.67,138.95,30.56,74,20,7.7,JP,1596689788
Kirksville,40.19,-92.58,16.11,87,1,2.1,US,1596690252
New Norfolk,-42.78,147.06,11.11,66,26,1.34,AU,1596690253
Cape Canaveral,28.41,-80.6,25.0,88,1,1.5,US,1596690253
Karratha,-20.74,116.85,23.7,26,41,7.71,AU,1596689836
Broadstairs,51.36,1.44,18.89,79,80,1.79,GB,1596690253
Petropavlovsk-Kamchatskiy,53.05,158.65,17.0,82,75,6.0,RU,1596690254
Dolores,-36.31,-57.68,15.67,70,83,3.69,AR,1596690254
Kuandian,40.73,124.78,28.66,60,17,4.71,CN,1596690254
Kavaratti,10.57,72.64,29.0,79,75,7.7,IN,1596689729
Malbork,54.04,19.03,18.33,100,33,1.4,PL,1596690255
Tupik,54.43,119.93,17.37,81,100,1.44,RU,1596690255
Tautira,-17.73,-149.15,26.0,69,40,3.1,PF,1596689685
Baghdad,33.34,44.4,31.0,35,0,0.5,IQ,1596690157
Bereda,43.27,-7.54,16.67,100,0,0.38,ES,1596690256
Nanortalik,60.14,-45.24,5.89,88,61,2.86,GL,1596689848
Ilulissat,69.22,-51.1,4.0,93,91,1.5,GL,1596689722
George Town,5.41,100.34,32.0,74,20,0.5,MY,1596690244
Laguna,38.42,-121.42,17.22,77,1,3.6,US,1596690257
Ambanja,-13.68,48.45,23.49,63,88,1.27,MG,1596690257
Severo-Yeniseyskiy,60.37,93.04,22.25,48,0,2.14,RU,1596690106
Osakarovka,50.56,72.57,24.16,41,0,6.81,KZ,1596690258
Trincomalee,8.57,81.23,31.21,59,100,9.06,LK,1596690258
Moose Factory,51.26,-80.61,14.0,76,90,3.1,CA,1596690258
Sørland,67.67,12.69,13.0,87,38,8.89,NO,1596690259
Xiangfan,32.04,112.14,33.67,63,95,5.83,CN,1596690259
Novaya Bryan’,51.72,108.27,19.0,88,75,6.0,RU,1596690259
Tiznit Province,29.58,-9.5,17.12,89,49,0.45,MA,1596689815
Hobart,-42.88,147.33,11.11,57,75,7.2,AU,1596689966
Khedbrahma,24.03,73.05,33.01,61,64,4.52,IN,1596690260
Richards Bay,-28.78,32.04,17.1,79,0,6.03,ZA,1596690260
Lyngseidet,69.58,20.22,13.0,76,0,5.1,NO,1596690260
Zyryanovsk,49.74,84.27,25.99,42,0,0.95,KZ,1596690261
Conde,-7.26,-34.91,22.0,94,90,3.1,BR,1596690261
San Patricio,19.22,-104.7,27.24,82,100,1.05,MX,1596690261
Lagoa,39.05,-27.98,21.32,75,100,6.33,PT,1596689735
Grand-Bourg,15.88,-61.31,26.0,78,20,2.6,GP,1596690262
Gouyave,12.16,-61.73,28.0,78,20,5.1,GD,1596690262
Assiniboia,49.63,-105.98,20.17,44,0,4.61,CA,1596690262
Vaini,-21.2,-175.2,23.0,73,75,2.6,TO,1596690262
Aklavik,68.22,-135.01,12.0,93,90,3.6,CA,1596690263
Clyde River,70.47,-68.59,2.0,84,40,4.6,CA,1596689436
Chilmāri,25.56,89.67,27.54,88,97,5.78,BD,1596690263
Mar del Plata,-38.0,-57.56,14.0,58,21,4.6,AR,1596690263
Esmeraldas,-19.76,-44.31,15.0,71,0,2.1,BR,1596689824
Talnakh,69.49,88.4,18.0,59,40,4.0,RU,1596690264
Tocopilla,-22.09,-70.2,14.18,65,65,0.78,CL,1596690264
Mandiana,10.63,-8.68,21.02,95,100,3.12,GN,1596690264
Nokaneng,-19.67,22.27,10.15,45,0,1.16,BW,1596690265
Amalāpuram,16.58,82.02,28.0,78,75,5.1,IN,1596690265
Wonthaggi,-38.6,145.59,13.33,75,14,4.54,AU,1596690265
Saldanha,-33.01,17.94,4.0,80,0,4.55,ZA,1596689681
Tezu,27.92,96.17,35.92,45,9,1.5,IN,1596690266
Latung,5.5,120.88,28.49,74,44,3.69,PH,1596690266
Nemuro,43.32,145.57,20.0,94,75,3.1,JP,1596690266
Bredasdorp,-34.53,20.04,7.0,81,63,4.1,ZA,1596690266
Alofi,-19.06,-169.92,25.0,94,22,3.1,NU,1596690064
Yerbogachën,61.28,108.01,25.5,41,86,4.97,RU,1596690078
Charters Towers,-20.1,146.27,26.33,42,44,7.5,AU,1596690267
Bathsheba,13.22,-59.52,27.0,83,40,7.2,BB,1596690063
Merauke,-8.47,140.33,26.82,82,41,6.69,ID,1596690268
Aljezur,37.32,-8.8,21.65,57,0,2.49,PT,1596690268
Lüderitz,-26.65,15.16,11.0,53,0,9.8,NA,1596689711
Kenora,49.82,-94.43,20.0,64,20,2.6,CA,1596690269
Avera,33.19,-82.53,23.0,88,1,2.17,US,1596690269
Kumul,42.8,93.45,35.16,14,5,3.75,CN,1596689730
Katsuura,35.13,140.3,34.44,70,40,8.2,JP,1596690270
Viedma,-40.81,-63.0,7.22,59,0,1.79,AR,1596690270
Rājula,21.05,71.43,27.34,87,100,8.27,IN,1596690270
Nampula,-15.12,39.27,18.22,87,19,1.23,MZ,1596690270
Griffith,41.53,-87.42,18.89,77,75,2.22,US,1596690092
Manta,-0.95,-80.73,21.0,88,20,2.6,EC,1596690271
Peace River,56.25,-117.29,18.0,77,75,2.1,CA,1596690164
Guaranda,-1.6,-79.0,11.0,65,30,4.18,EC,1596690272
Flagstaff,35.2,-111.65,20.56,23,1,3.04,US,1596690272
Tilichiki,60.47,166.1,14.65,51,25,5.86,RU,1596690273
Zhalantun,48.0,122.72,21.39,66,88,3.21,CN,1596690273
East London,-33.02,27.91,12.0,93,90,11.8,ZA,1596690219
Lompoc,34.64,-120.46,14.0,93,55,3.6,US,1596690038
Chui,-33.7,-53.46,16.69,86,0,4.21,UY,1596690274
Bandarbeyla,9.49,50.81,28.48,55,100,15.15,SO,1596689836
Narsaq,60.92,-46.05,6.0,75,78,1.0,GL,1596689801
Aden,12.78,45.04,30.59,65,100,8.29,YE,1596689983
Cabras,39.93,8.53,18.89,92,0,1.87,IT,1596690275
Tadine,-21.55,167.88,21.95,62,23,3.93,NC,1596690275
Lorengau,-2.02,147.27,28.86,71,100,4.26,PG,1596690276
Baghlan,36.13,68.71,33.99,14,0,1.57,AF,1596690276
Qinhuangdao,39.93,119.59,29.12,65,30,4.53,CN,1596690276
Mananjary,-21.22,48.33,19.29,81,38,1.92,MG,1596690277
San Borja,-14.82,-66.85,21.16,66,0,1.31,BO,1596690277
Stromness,58.97,-3.3,12.0,93,58,1.0,GB,1596690278
Toppenish,46.38,-120.31,28.0,37,1,3.6,US,1596690278
Marsabit,2.33,37.99,16.11,96,72,6.6,KE,1596690278
Nanyamba,-10.68,39.83,19.0,100,20,5.1,TZ,1596690279
Oildale,35.42,-119.02,26.0,36,1,4.1,US,1596690279
Vuktyl,63.86,57.31,21.07,57,52,5.2,RU,1596690279
Mkushi,-13.62,29.39,14.68,58,0,2.55,ZM,1596690280
Sioux Lookout,50.1,-91.92,17.0,72,20,1.5,CA,1596690280
Salta,-24.79,-65.41,17.0,63,0,2.6,AR,1596690208
Morant Bay,17.88,-76.41,29.0,62,20,3.1,JM,1596690281
Srandakan,-7.94,110.25,28.55,63,61,7.62,ID,1596690281
Vestmannaeyjar,63.44,-20.27,10.74,85,89,5.8,IS,1596690028
Sola,-13.88,167.55,24.64,82,1,9.32,VU,1596690282
Asău,46.43,26.4,19.44,75,0,1.72,RO,1596690282
Gopālpur,19.27,84.92,30.97,70,100,9.2,IN,1596690199
Zangakatun,39.82,45.04,24.0,31,3,1.5,AM,1596690283
Aykhal,66.0,111.5,26.0,24,2,2.0,RU,1596690283
Bien Hoa,10.95,106.82,30.0,74,75,4.1,VN,1596690283
Lüleburgaz,41.4,27.36,21.0,88,20,4.1,TR,1596690284
Isangel,-19.55,169.27,22.49,59,1,4.31,VU,1596690284
Port Blair,11.67,92.75,29.03,78,100,6.02,IN,1596690284
Te Anau,-45.42,167.72,9.2,88,100,1.22,NZ,1596690057
Ventspils,57.39,21.56,16.0,93,80,2.1,LV,1596690285
Touros,-5.2,-35.46,22.0,88,40,2.1,BR,1596690285
Tigil',57.8,158.67,17.55,49,24,5.7,RU,1596690285
Sabzawār,36.21,57.68,27.62,20,1,6.33,IR,1596690286
Fortuna,40.6,-124.16,15.56,94,59,2.37,US,1596689721
Udachny,66.42,112.4,26.0,24,12,2.0,RU,1596690286
Bilibino,68.05,166.44,8.09,82,100,2.24,RU,1596689757
Ati,13.22,18.34,23.52,90,99,5.26,TD,1596690126
Kumo,10.04,11.21,21.56,91,100,8.43,NG,1596690287
Havelock,34.88,-76.9,28.33,100,20,1.5,US,1596690287
Bousso,10.48,16.71,22.26,94,100,3.8,TD,1596690288
Ajdabiya,30.76,20.23,27.69,32,0,4.99,LY,1596690288
Korla,41.76,86.15,33.29,16,35,3.03,CN,1596689847
Zheleznodorozhnyy,55.75,38.0,21.11,82,100,1.0,RU,1596690138
Maple Creek,49.92,-109.48,22.31,32,0,5.01,CA,1596690124
Sitka,57.05,-135.33,14.0,82,90,4.1,US,1596690289
Simpang,-1.27,104.08,31.74,58,100,1.56,ID,1596690290
Atikokan,48.76,-91.62,14.86,78,30,2.27,CA,1596690290
Gorno-Altaysk,51.96,85.95,22.87,53,0,2.27,RU,1596690290
Rumphi,-11.02,33.86,17.03,63,0,1.62,MW,1596690291
Saskylakh,71.92,114.08,21.0,46,93,6.31,RU,1596690291
Karīmnagar,18.43,79.15,27.0,82,99,5.43,IN,1596690291
Salalah,17.02,54.09,26.0,88,90,3.1,OM,1596689725
La Sarre,48.8,-79.2,10.67,97,99,4.77,CA,1596690292
Airai,-8.93,125.41,23.95,53,5,1.25,TL,1596689757
Ambunti,-4.24,142.84,23.81,98,100,0.57,PG,1596690292
Nānākuli,21.39,-158.15,29.0,54,90,3.1,US,1596690293
Zhezkazgan,47.8,67.71,30.0,27,75,5.0,KZ,1596690293
Denpasar,-8.65,115.22,28.0,69,20,6.2,ID,1596689875
Faanui,-16.48,-151.75,25.78,81,10,6.44,PF,1596690294
Rio Grande,-32.03,-52.1,15.56,86,0,4.87,BR,1596690294
Cham,47.18,8.46,13.33,93,28,0.49,CH,1596690294
Staryy Saltiv,50.08,36.79,21.0,56,0,2.0,UA,1596690295
Port Hardy,50.7,-127.42,13.0,100,75,1.5,CA,1596690037
Altay,47.87,88.12,26.63,29,5,4.64,CN,1596689848
Krasnyy Chikoy,50.36,108.75,24.28,62,100,1.22,RU,1596690295
Kieta,-6.22,155.63,29.64,62,99,2.67,PG,1596690296
Lábrea,-7.26,-64.8,24.94,50,19,0.23,BR,1596690296
Kinablangan,7.69,126.55,28.81,71,90,1.69,PH,1596690296
Bonfim,3.08,-59.95,24.01,87,13,0.51,BR,1596690296
Byron Bay,-28.65,153.62,20.0,48,0,5.1,AU,1596690297
La Rioja,42.25,-2.5,15.0,72,0,2.25,ES,1596690297
